time,open,high,low,close,volume
2025-04-11 14:00:00,1.13368,1.13712,1.1323699999999999,1.13288,7048
2025-04-11 15:00:00,1.13288,1.13989,1.13247,1.13954,9667
2025-04-11 16:00:00,1.13954,1.14121,1.1323699999999999,1.13606,11214
2025-04-11 17:00:00,1.13609,1.13817,1.1327099999999999,1.13401,11436
2025-04-11 18:00:00,1.134,1.13499,1.13125,1.13251,8446
2025-04-11 19:00:00,1.13246,1.13273,1.12767,1.1306,7678
2025-04-11 20:00:00,1.13059,1.13269,1.12825,1.12853,5788
2025-04-11 21:00:00,1.12855,1.13214,1.1284399999999999,1.13125,5666
2025-04-11 22:00:00,1.13126,1.13436,1.13092,1.13416,4980
2025-04-11 23:00:00,1.13416,1.13562,1.13365,1.13552,2757
2025-04-14 00:00:00,1.1314,1.13202,1.13073,1.13177,255
2025-04-14 01:00:00,1.13177,1.13547,1.13177,1.13338,3597
2025-04-14 02:00:00,1.13338,1.13489,1.13239,1.13422,4072
2025-04-14 03:00:00,1.13422,1.13706,1.1341,1.13653,5460
2025-04-14 04:00:00,1.13653,1.1409,1.13644,1.13855,5686
2025-04-14 05:00:00,1.13855,1.14013,1.1371,1.1372,4195
2025-04-14 06:00:00,1.1372,1.13839,1.13578,1.13715,3494
2025-04-14 07:00:00,1.13715,1.13849,1.13655,1.13676,2510
2025-04-14 08:00:00,1.13676,1.13878,1.13529,1.13852,3431
2025-04-14 09:00:00,1.13852,1.14239,1.13765,1.1417,6576
2025-04-14 10:00:00,1.1417,1.14246,1.13835,1.13897,7002
2025-04-14 11:00:00,1.13897,1.14097,1.13789,1.13876,6129
2025-04-14 12:00:00,1.13876,1.14077,1.13868,1.13868,5494
2025-04-14 13:00:00,1.13868,1.13922,1.13716,1.13874,4228
2025-04-14 14:00:00,1.13874,1.14059,1.13726,1.13839,3865
2025-04-14 15:00:00,1.13839,1.13885,1.13345,1.13389,5580
2025-04-14 16:00:00,1.13387,1.13415,1.1296,1.13272,7798
2025-04-14 17:00:00,1.13272,1.1368,1.13198,1.13677,5956
2025-04-14 18:00:00,1.13676,1.13819,1.13529,1.13573,6192
2025-04-14 19:00:00,1.13573,1.13702,1.13301,1.13308,5002
2025-04-14 20:00:00,1.13309,1.13479,1.13285,1.13385,3848
2025-04-14 21:00:00,1.13385,1.13572,1.1338,1.13545,3032
2025-04-14 22:00:00,1.13545,1.1369799999999999,1.13499,1.1355,2776
2025-04-14 23:00:00,1.1354899999999999,1.13585,1.13431,1.13496,2272
2025-04-15 00:00:00,1.135,1.1354,1.13424,1.13512,300
2025-04-15 01:00:00,1.13525,1.13615,1.1345399999999999,1.13536,1770
2025-04-15 02:00:00,1.13536,1.1354,1.13336,1.13363,2180
2025-04-15 03:00:00,1.13363,1.13389,1.13172,1.13287,3761
2025-04-15 04:00:00,1.13287,1.13351,1.1316,1.13242,2885
2025-04-15 05:00:00,1.13244,1.13523,1.13244,1.13497,2562
2025-04-15 06:00:00,1.13496,1.13531,1.13434,1.13475,1844
2025-04-15 07:00:00,1.13475,1.13633,1.13448,1.1357,2128
2025-04-15 08:00:00,1.1357,1.13679,1.13491,1.13507,2580
2025-04-15 09:00:00,1.13507,1.13645,1.13281,1.1332200000000001,4708
2025-04-15 10:00:00,1.1332200000000001,1.13598,1.13207,1.13572,5029
2025-04-15 11:00:00,1.13572,1.13789,1.13436,1.13467,5111
2025-04-15 12:00:00,1.13465,1.13562,1.13331,1.13388,4064
2025-04-15 13:00:00,1.13388,1.13493,1.13324,1.13446,3369
2025-04-15 14:00:00,1.13446,1.13446,1.13141,1.13265,3831
2025-04-15 15:00:00,1.13266,1.13415,1.1308799999999999,1.13129,5835
2025-04-15 16:00:00,1.13129,1.13285,1.13051,1.13175,6335
